,PKey,avg_rad,cf_cvg,centroid
284,221,3.2998414165142615,9.0,[82.8067029  22.84415846]
285,222,3.351363620800275,8.832237704538988,[83.17950375 23.13161986]
286,222,8.608265914098855,8.97412164594334,[82.9998407  23.21695851]
287,222,1.418199867056854,8.0,[83.04475645 23.06424491]
288,222,4.915629304364706,8.588341253241788,[83.69154345 23.80984661]
289,222,11.236726355521204,7.15700608646546,[82.91450075 23.20797555]
290,222,9.786125195558698,8.0,[83.06721435 23.1765344 ]
291,222,2.239506236757874,8.697998355472944,[78.26122755 26.37004491]
292,222,3.473426278122122,6.0,[77.4123196  26.25326477]
293,222,4.546698261290066,10.0,[78.08605605 26.37453436]
294,222,3.4958808091373728,8.868586995588691,[77.9872414  26.50479528]
295,222,4.623781010778623,8.43424376470588,[77.8030868  26.34758814]
296,223,3.5678052183743403,5.930054212331634,[77.609949   26.30267307]
297,223,5.221845415547586,8.215419381242405,[78.22529495 26.31614647]
298,223,2.4618607008794826,6.354589598608409,[78.36902535 26.679964  ]
299,223,8.422516046756579,9.365677187307147,[78.2252949  26.70691424]
300,223,9.758169035637872,9.399337010029786,[72.4042119  24.13324031]
301,223,7.170402216750115,9.584086137011157,[72.42666975 24.16917339]
302,223,1.621442016088281,6.921644937764976,[71.7753912  24.11527401]
303,223,5.539788813196267,8.755817913725492,[72.13022575 24.33985261]
304,223,8.389945477630286,8.700546221245087,[71.59123655 24.07035859]
305,224,1.4296254293403885,10.464000465805455,[71.82479855 23.97154336]
306,224,3.598809663895985,9.891796403862985,[71.80683225 23.97154336]
307,224,3.3009344808159833,12.0,[71.97302055 24.15120661]
308,224,2.533609515313402,12.0,[72.29641405 24.2185801 ]
309,224,3.6670367018221626,11.308806683847463,[72.84887795 24.344345  ]
310,224,5.332400624443577,12.0,[72.18412465 24.2634966 ]
311,224,1.239259772982337,11.850265269963035,[72.8578611  20.42319733]
312,224,2.313053827471053,12.0,[74.3849971  21.08345963]
313,224,7.4574764861678275,12.0,[74.8835621  21.34397045]
314,224,3.4099685160505753,12.924390745506795,[74.56016855 21.33049628]
315,224,4.413815885779569,12.0,[74.87008735 20.73760836]
316,225,8.713049690989518,12.604684291003414,[74.7712727  20.88582865]
317,227,4.322800480409965,13.0,[74.94644415 21.33049628]
318,227,3.3166512010590155,13.0,[74.85212105 21.15981651]
319,227,4.211688263673189,12.771386726576901,[74.37601395 21.06998501]
320,227,5.272930338619,12.0,[78.28817705 18.79275699]
322,227,5.5878468778127575,12.09487660784745,[78.26571915 18.73436495]
323,227,3.323063573816269,13.0,[78.09054765 18.6849607 ]
324,227,7.167475894398835,13.0,[78.33758435 18.32563249]
325,227,2.3905810355357335,13.0,[78.20283705 18.61758437]
326,228,3.840658307958941,10.0,[77.8884267 18.6580083]
327,228,2.5784008444759574,12.0,[77.87495195 18.38402216]
328,228,1.380964567648515,9.877728800241544,[78.23427805 18.5412275 ]
329,228,8.14564930552536,9.291040839536333,[75.67407955 15.92713   ]
330,228,5.764385422855115,11.80084634139513,[75.2788208  16.34484705]
331,228,5.051575140046717,9.45315285418097,[76.10976245 15.96755427]
332,228,7.2392939087804855,9.0,[75.1171241  16.48408571]
333,228,3.9910072397167475,10.897845059817621,[75.03627565 16.394254  ]
334,228,4.656508222818334,9.036480000000036,[75.29678715 16.21009945]
335,229,4.911684850036693,10.015368290067276,[76.05586355 16.05289406]
336,229,6.226519142828667,11.0,[75.61568905 16.34933844]
337,229,9.245428040280247,10.841796495035489,[75.10814095 16.39874538]
338,229,6.0544888750085075,10.755080345098191,[75.5438238  16.01246996]
339,229,4.9377545718711495,11.0,[75.78636895 16.05738609]
340,229,3.74053629036111,11.0,[75.66958795 16.17416885]
341,229,5.887503195199171,11.229729790781008,[75.04525885 16.49756036]
342,229,5.040601992825356,10.724324772023872,[75.27882085 16.50654476]
343,229,8.367121013326841,10.968221195072525,[74.10651935 15.26686836]
344,229,9.53189429844081,11.0,[73.9672805  15.28034341]
345,229,3.3548495995208074,11.0,[73.91787315 15.28483466]
346,229,5.7326550905553315,10.40712628410994,[73.8684658  15.38366568]
347,229,8.082126209854218,11.0,[75.18898925 12.05089947]
348,229,9.03001572175515,10.129981371482597,[75.4899249  11.74996389]
349,230,4.234481591124539,11.0,[75.53484065 11.91615255]
350,230,8.407330916644629,10.947775091330032,[75.3731439  11.87572802]
351,230,3.443783513608468,10.830335760170083,[80.2509959  13.06599262]
352,230,5.819824648170917,10.464275026600255,[77.55605005 34.15394824]
353,232,4.033356550374783,9.407389256441313,[77.18324925 34.21682916]
354,232,2.862686103290282,11.0,[75.7818774  31.02780865]
355,232,0.2806097037364776,10.980187759022039,[75.4764502  31.12662471]
356,232,4.320786183443282,9.955416221982599,[75.57975645 31.09518361]
358,233,26.077149123424064,11.495676841601803,[75.7728942  31.13111567]
360,301,2.081209806960718,5.704772801018359,[75.78187735 31.19399849]
361,301,13.746594348532538,8.29977966420316,[75.5887396  31.33774253]
362,303,5.3370834737282555,8.793650739869312,[75.72797845 31.43654453]
363,303,5.604233892103454,8.396759215686277,[75.4719586  31.05475915]
364,303,6.35508913054183,7.599339040366896,[75.63814695 31.55332459]
365,303,3.3344878003942124,9.069372453997644,[75.3372113  31.08620103]
366,303,2.8044532959931106,9.006687665491288,[77.1473166  30.20585169]
